domain name;ip;min time;avg time;max time
google.com;64.233.161.139;67.6;105.27;150.58
yahoo.com;98.137.11.163;305.81;306.68;307.76
bing.com;13.107.21.200;100.72;101.47;101.9
yandex.com;77.88.55.77;101.46;102.15;103.71
vk.com;93.186.225.194;99.41;101.27;102.38
yandex.com;77.88.55.77;101.78;102.85;104.81
wikipedia.org;185.15.59.224;90.22;126.2;201.48
stackoverflow.com;188.114.99.224;100.41;112.51;143.66
github.com;140.82.121.3;89.76;126.78;201.29
youtube.com;64.233.161.190;100.58;101.75;102.74
